Numero,Sesso,Data di Nascita,Ora Nascita,Comune Nascita,Sigla Provincia o Stato Nascita,Comune Residenza,Sigla Provincia o Stato Residenza,Data Atto,Giorno Nascita,Giorno Settimana,Mese Nascita,Fascia Oraria
383,M,2024-08-24,19:41,Foggia,FG,Bovino,FG,2024-08-23,24,Sabato,Agosto,Sera (18:00 - 23:59)
384,M,2024-08-27,13:29,Foggia,FG,Orta Nova,FG,2024-08-23,27,Marted ,Agosto,Pomeriggio (12:00 - 17:59)
385,M,2024-08-29,00:14,Foggia,FG,Cremona,CR,2024-08-23,29,Gioved ,Agosto,Notte (00:00 - 05:59)
386,F,2024-08-27,22:35,Foggia,FG,Manfredonia,FG,2024-08-26,27,Marted ,Agosto,Sera (18:00 - 23:59)
387,F,2024-08-27,23:51,Foggia,FG,Torremaggiore,FG,2024-08-27,27,Marted ,Agosto,Sera (18:00 - 23:59)
388,F,2024-08-28,22:47,Foggia,FG,Vieste,FG,2024-08-27,28,Mercoled ,Agosto,Sera (18:00 - 23:59)
389,F,2024-08-28,12:34,Foggia,FG,Cerignola,FG,2024-08-28,28,Mercoled ,Agosto,Pomeriggio (12:00 - 17:59)
390,M,2024-09-01,01:33,Foggia,FG,Vasto,CH,2024-08-28,1,Domenica,Settembre,Notte (00:00 - 05:59)
391,F,2024-08-27,19:07,Foggia,FG,Orta Nova,FG,2024-08-29,27,Marted ,Agosto,Sera (18:00 - 23:59)
392,F,2024-08-30,01:50,Foggia,FG,Bedford,GB,2024-08-29,30,Venerd ,Agosto,Notte (00:00 - 05:59)
393,M,2024-08-31,05:59,Foggia,FG,Pietramontecorvino,FG,2024-08-29,31,Sabato,Agosto,Notte (00:00 - 05:59)
394,M,2024-09-01,22:55,Foggia,FG, Manfredonia,FG,2024-08-29,1,Domenica,Settembre,Sera (18:00 - 23:59)
395,F,2024-09-02,15:07,Foggia,FG,Orta Nova,FG,2024-08-29,2,Luned ,Settembre,Pomeriggio (12:00 - 17:59)
396,M,2024-09-02,08:33,Foggia,FG,Manfredonia,FG,2024-09-02,2,Luned ,Settembre,Mattina (06:00 - 11:59)
397,F,2024-09-01,09:15,Foggia,FG,Manfredonia,FG,2024-09-02,1,Domenica,Settembre,Mattina (06:00 - 11:59)
398,F,2024-09-02,09:58,Foggia,FG,Cerignola,FG,2024-09-02,2,Luned ,Settembre,Mattina (06:00 - 11:59)
399,M,2024-08-27,09:50,Foggia,FG,Lucera,FG,2024-09-02,27,Marted ,Agosto,Mattina (06:00 - 11:59)
400,F,2024-09-02,18:06,Foggia,FG,Carapelle,FG,2024-09-02,2,Luned ,Settembre,Sera (18:00 - 23:59)
401,M,2024-09-04,11:50,Foggia,FG,Cerignola,FG,2024-09-03,4,Mercoled ,Settembre,Mattina (06:00 - 11:59)
402,M,2024-09-02,11:24,Foggia,FG,Accadia,FG,2024-09-03,2,Luned ,Settembre,Mattina (06:00 - 11:59)
403,M,2024-09-03,18:18,Foggia,FG,Deliceto,FG,2024-09-03,3,Marted ,Settembre,Sera (18:00 - 23:59)
404,M,2024-09-03,12:59,Foggia,FG,Ascoli Satriano,FG,2024-09-03,3,Marted ,Settembre,Pomeriggio (12:00 - 17:59)
405,F,2024-09-06,18:52,Foggia,FG,Non Disponibile,Non Disponibile,2024-09-04,6,Venerd ,Settembre,Sera (18:00 - 23:59)
406,M,2024-09-06,23:28,Foggia,FG,Manfredonia,FG,2024-09-04,6,Venerd ,Settembre,Sera (18:00 - 23:59)
407,M,2024-09-08,00:57,Foggia,FG,Cerignola,FG,2024-09-05,8,Domenica,Settembre,Notte (00:00 - 05:59)
408,M,2024-09-08,19:40,Foggia,FG,Lucera,FG,2024-09-05,8,Domenica,Settembre,Sera (18:00 - 23:59)
409,M,2024-09-07,10:32,Foggia,FG,Manfredonia,FG,2024-09-05,7,Sabato,Settembre,Mattina (06:00 - 11:59)
410,M,2024-09-07,11:09,Foggia,FG,Cagnano Varano,FG,2024-09-06,7,Sabato,Settembre,Mattina (06:00 - 11:59)
411,F,2024-09-07,12:08,Foggia,FG,Orta Nova,FG,2024-09-09,7,Sabato,Settembre,Pomeriggio (12:00 - 17:59)
412,F,2024-09-09,04:59,Foggia,FG,Ordona,FG,2024-09-09,9,Luned ,Settembre,Notte (00:00 - 05:59)
413,M,2024-09-08,17:42,Foggia,FG,San Severo,FG,2024-09-09,8,Domenica,Settembre,Pomeriggio (12:00 - 17:59)
414,F,2024-09-10,18:51,Foggia,FG,San Severo,FG,2024-09-10,10,Marted ,Settembre,Sera (18:00 - 23:59)
415,M,2024-09-10,11:53,Foggia,FG,Orsara Di Puglia,FG,2024-09-10,10,Marted ,Settembre,Mattina (06:00 - 11:59)
416,M,2024-09-10,17:14,Foggia,FG,Ischitella,FG,2024-09-10,10,Marted ,Settembre,Pomeriggio (12:00 - 17:59)
